# Copyright (C) 2023  Intel Corporation. All rights reserved.,,,,,,,,,,,,
# Your use of Intel Corporation's design tools, logic functions ,,,,,,,,,,,
# and other software and tools, and any partner logic ,,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,,
# to the terms and conditions of the Intel Program License ,,,,,,,,,,,,
# Subscription Agreement, the Intel Quartus Prime License Agreement,,,,,,,,,,,
# the Intel FPGA IP License Agreement, or other applicable license,,,,,,,,,,,
# agreement, including, without limitation, that your use is for,,,,,,,,,
# the sole purpose of programming logic devices manufactured by,,,,,,,,,,,,
# Intel and sold by Intel or its authorized distributors.  Please,,,,,,,,,,,,
# refer to the applicable agreement for further details, at,,,,,,,,,,,
# https://fpgasoftware.intel.com/eula.,,,,,,,,,,,,
,,,,,,,,,,,,
# Quartus Prime Version 22.1std.2 Build 922 07/20/2023 SC Lite Edition,,,,,,,,,,,,
# File: G:\My Drive\FPGA\git\RCB_Rev_B\RCB_FPGA_revb.csv,,,,,,,,,,,,
# Generated on: Mon Feb 26 15:57:58 2024,,,,,,,,,,,,
,,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.,,,,,,,,,,,,
,,,,,,,,,,,,
Node Name,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation,Weak Pull-Up Resistor
L_SER_RX_ER_3,Unknown,PIN_P14,,,,,,,,,,
L_WHEEL_SENS_A1_OUT1_BUFF_2,Unknown,PIN_D12,,,,,,,,,,
L_WHEEL_SENS_A1_OUT2_BUFF_2,Unknown,PIN_E11,,,,,,,,,,
L_WHEEL_SENS_A2_OUT1_BUFF_2,Unknown,PIN_C13,,,,,,,,,,
L_WHEEL_SENS_A2_OUT2_BUFF_2,Unknown,PIN_C12,,,,,,,,,,
L_WHEEL_SENS_SPARE_OUT1_BUFF_2,Unknown,PIN_K6,,,,,,,,,,
L_WHEEL_SENS_SPARE_OUT2_BUFF_2,Unknown,PIN_M2,,,,,,,,,,
LED_1_3,Unknown,PIN_M10,,,,,,,,,,
LED_2_3,Unknown,PIN_L9,,,,,,,,,,
LED_3_3,Unknown,PIN_T13,,,,,,,,,,
LED_4_3,Unknown,PIN_T12,,,,,,,,,,
LED_5_3,Unknown,PIN_P13,,,,,,,,,,
LED_6_3,Unknown,PIN_P12,,,,,,,,,,
LED_7_3,Unknown,PIN_M11,,,,,,,,,,
LED_8_3,Unknown,PIN_L10,,,,,,,,,,
MIC.C.B_SP_IN_A_F_2,Unknown,PIN_A11,,,,,,,,,,
MIC.C.B_SP_IN_B_F_2,Unknown,PIN_B7,,,,,,,,,,
MicCB_ESTOP_OPEN_REQUEST_2,Unknown,PIN_J14,,,,,,,,,,
MICCB_GEN_SYNC_FAIL_3,Unknown,PIN_M14,,,,,,,,,,
MICCB_GEN_SYNC_FPGA_3,Unknown,PIN_P10,,,,,,,,,,
MICCB_SPARE_IO0_2,Unknown,PIN_J16,,,,,,,,,,
MICCB_SPARE_IO1_2,Unknown,PIN_K15,,,,,,,,,,
MICCB_SPARE_IO2_2,Unknown,PIN_M9,,,,,,,,,,
MICCB_SPARE_IO3_2,Unknown,PIN_J12,,,,,,,,,,
MISO0_2,Unknown,PIN_B3,,,,,,,,,,
MOSI0_2,Unknown,PIN_A2,,,,,,,,,,
nCONFIG_2,Unknown,PIN_E8,,,,,,,,,,
NetR130_1,Unknown,PIN_F16,,,,,,,,,,
NetR131_1,Unknown,PIN_G11,,,,,,,,,,
NetR54_1,Unknown,PIN_B9,,,,,,,,,,
NetR55_1,Unknown,PIN_B6,,,,,,,,,,
NetU3_A12,Unknown,PIN_A12,,,,,,,,,,
NetU3_A9,Unknown,PIN_A9,,,,,,,,,,
NetU3_B11,Unknown,PIN_B11,,,,,,,,,,
NetU3_C10,Unknown,PIN_C10,,,,,,,,,,
NetU3_G16,Unknown,PIN_G16,,,,,,,,,,
NetU3_G2,Unknown,PIN_G2,,,,,,,,,,
NetU3_J1,Unknown,PIN_J1,,,,,,,,,,
NetU3_K12,Unknown,PIN_K12,,,,,,,,,,
NetU3_L12,Unknown,PIN_L12,,,,,,,,,,
NetU3_L15,Unknown,PIN_L15,,,,,,,,,,
NetU3_M15,Unknown,PIN_M15,,,,,,,,,,
NetU3_M16,Unknown,PIN_M16,,,,,,,,,,
NetU3_R11,Unknown,PIN_R11,,,,,,,,,,
NetU3_R12,Unknown,PIN_R12,,,,,,,,,,
nSTATUS_2,Unknown,PIN_F7,,,,,,,,,,
OPEN_ELO_REQUEST_2,Unknown,PIN_R10,,,,,,,,,,
PS_PG_FPGA_2,Unknown,PIN_F12,,,,,,,,,,
R TOOL-EX LED_DIN_2,Unknown,PIN_J5,,,,,,,,,,
R_4MB_SER_IN_ER_3,Unknown,PIN_T14,,,,,,,,,,
R_4MB_SER_IN_SE_2,Unknown,PIN_A15,,,,,,,,,,
R_EEF_SER_IN_ER_3,Unknown,PIN_N14,,,,,,,,,,
R_EEF_SER_IN_SE_2,Unknown,PIN_H15,,,,,,,,,,
R_LED_DIN_2,Unknown,PIN_B2,,,,,,,,,,
R_M5B_SER_IN_ER_3,Unknown,PIN_R16,,,,,,,,,,
R_M5B_SER_IN_SE_2,Unknown,PIN_H11,,,,,,,,,,
R_NC_switch_TOOL_EX_FPGA_3,Unknown,PIN_P16,,,,,,,,,,
R_NO_switch_TOOL_EX_FPGA_3,Unknown,PIN_N16,,,,,,,,,,
R_POS_SENS_0_OUT1_BUFF_2,Unknown,PIN_L2,,,,,,,,,,
R_POS_SENS_0_OUT2_BUFF_2,Unknown,PIN_P1,,,,,,,,,,
R_POS_SENS_1_OUT1_BUFF_2,Unknown,PIN_N1,,,,,,,,,,
R_POS_SENS_1_OUT2_BUFF_2,Unknown,PIN_L6,,,,,,,,,,
R_POS_SENS_2_OUT1_BUFF_2,Unknown,PIN_N4,,,,,,,,,,
R_POS_SENS_2_OUT2_BUFF_2,Unknown,PIN_R5,,,,,,,,,,
R_ROBOT_DIFF_SP1_2,Unknown,PIN_B4,,,,,,,,,,
R_ROBOT_DIFF_SP2_2,Unknown,PIN_A5,,,,,,,,,,
R_SCU_I\n\v\a\l\i\d\_2,Unknown,PIN_C1,,,,,,,,,,
R_SER_RX_ER_3,Unknown,PIN_R14,,,,,,,,,,
R_WHEEL_SENS_A1_OUT1_BUFF_2,Unknown,PIN_C9,,,,,,,,,,
R_WHEEL_SENS_A1_OUT2_BUFF_2,Unknown,PIN_F9,,,,,,,,,,
R_WHEEL_SENS_A2_OUT1_BUFF_2,Unknown,PIN_E9,,,,,,,,,,
R_WHEEL_SENS_A2_OUT2_BUFF_2,Unknown,PIN_B12,,,,,,,,,,
R_WHEEL_SENS_SPARE_OUT1_BUFF_2,Unknown,PIN_F11,,,,,,,,,,
R_WHEEL_SENS_SPARE_OUT2_BUFF_2,Unknown,PIN_J6,,,,,,,,,,
ROBOT ESTOP LED DIN_2,Unknown,PIN_G15,,,,,,,,,,
S_LED_DIN_2,Unknown,PIN_E1,,,,,,,,,,
SCK0_2,Unknown,PIN_A3,,,,,,,,,,
SPARE1_ANALOG_SW_0_SEL_FPGA_2,Unknown,PIN_T7,,,,,,,,,,
SPARE1_ANALOG_SW_1_SEL_FPGA_2,Unknown,PIN_T6,,,,,,,,,,
SPARE1_ANALOG_SW_2_SEL_FPGA_2,Unknown,PIN_R7,,,,,,,,,,
SPARE1_DIFF0_2,Unknown,PIN_M6,,,,,,,,,,
SPARE1_DIFF1_2,Unknown,PIN_L7,,,,,,,,,,
SPARE1_DIFF2_2,Unknown,PIN_R3,,,,,,,,,,
SPARE1_DIFF3_2,Unknown,PIN_R2,,,,,,,,,,
SPARE1_IO0_FPGA_2,Unknown,PIN_P9,,,,,,,,,,
SPARE1_IO1_FPGA_2,Unknown,PIN_P8,,,,,,,,,,
SPARE1_IO2_FPGA_2,Unknown,PIN_T9,,,,,,,,,,
SPARE1_IO3_FPGA_2,Unknown,PIN_R9,,,,,,,,,,
SPARE2_ANALOG_SW_0_SEL_FPGA_2,Unknown,PIN_P6,,,,,,,,,,
SPARE2_ANALOG_SW_1_SEL_FPGA_2,Unknown,PIN_T8,,,,,,,,,,
SPARE2_ANALOG_SW_2_SEL_FPGA_2,Unknown,PIN_R8,,,,,,,,,,
SPARE2_DIFF0_2,Unknown,PIN_R4,,,,,,,,,,
SPARE2_DIFF1_2,Unknown,PIN_P5,,,,,,,,,,
SPARE2_DIFF2_2,Unknown,PIN_T3,,,,,,,,,,
SPARE2_DIFF3_2,Unknown,PIN_T2,,,,,,,,,,
SPARE2_IO0_FPGA_2,Unknown,PIN_P4,,,,,,,,,,
SPARE2_IO1_FPGA_2,Unknown,PIN_N5,,,,,,,,,,
SPARE2_IO2_FPGA_2,Unknown,PIN_P2,,,,,,,,,,
SPARE2_IO3_FPGA_2,Unknown,PIN_R1,,,,,,,,,,
SSR_ON_FPGA_2,Unknown,PIN_T4,,,,,,,,,,
TEENSY_FPGA_L_TX_2,Unknown,PIN_C6,,,,,,,,,,
TEENSY_FPGA_R_TX_2,Unknown,PIN_A8,,,,,,,,,,
Teensy_FPGA_SP0_2,Unknown,PIN_D14,,,,,,,,,,
Teensy_FPGA_SP1_2,Unknown,PIN_C14,,,,,,,,,,
Teensy_FPGA_SP2_2,Unknown,PIN_D15,,,,,,,,,,
TEENSY_LEDS_STRIP_DO_2,Unknown,PIN_F1,,,,,,,,,,
